Business ID,Name,Type,Is Chain,Chain,Parent name,Other notes
tQfLGoolUMu2J0igcWcoZg,Tokyo Hotel,h,0,,,
33Xc1Bk_gkSY5xb2doQ7Ng,The Tremont Chicago Hotel at Magnificent Mile,h,0,,,
2nnXespKBBNtDQTtrumNFg,Inn At Lincoln Park,h,0,,,
SNuJYJewLhunxlhEezo15w,Carleton Hotel,h,0,,,
XZEBxlz9ZoP76CrYvEsL1A,Holiday Inn Express Chicago - Magnificent Mile,h,1,Holiday Inn,IHG,
FfG-PPZCz1sB4SKZoqsZkQ,The Whitehall Hotel,h,0,,,
yiXTDN-dfNq3NKXZPKgsaw,Hilton Chicago/Magnificent Mile Suites,h,1,Hilton,Hilton,
SEyUJ4t_8K4fD0ZIQnbmrA,Hotel Indigo Chicago Downtown Gold Coast,h,1,Indigo,IHG,
qgpP1FOFrlssColqP2u-xA,Holiday Inn Chicago-Downtown,h,1,Holiday Inn,IHG,
tS1N1-P7QorwyRsNk3VMJA,Seneca Hotel,h,None,,,
WA6coAKLoKnMWMKYKOibLQ,City Suites Hotel Chicago,h,2,Broughton Hotels,Broughton Hotels,
DWRJ-OU-t1Gi1hebNBKMHA,Travelodge by Wyndham Downtown Chicago,h,1,Wyndham,Wyndham,
QnWFR5zQuLGL12EM_SZb8Q,The Congress Plaza Hotel & Convention Center,h,0,,,
SfRCNiCTPfGwzHEM_hCVZQ,Hilton Garden Inn Chicago Downtown/Magnificent Mile,h,1,Hilton Garden Inn,Hilton,
Y4wBzuFAMwJM2WymFEdmag,Chicago South Loop Hotel,h,0,,,
gAZVMESj-7Va8zntfZCvNQ,Wheeler Mansion Hotel,h,0,,,
qmF64R44N-4gOHqze10TXg,Embassy Suites by Hilton Chicago Downtown Magnificent Mile,h,1,Embassy Suites,Hilton,
Zxjq-Rrv0VVdD3vktiDIkw,Hampton Inn & Suites Chicago-Downtown,h,1,Hampton Inn,Hilton,
S_wqr0_GkrNOvgVVgp7__w,PUBLIC Chicago,h,1,PUBLIC,PUBLIC,
ia27sl8koyz1K3sX8kT5ig,DoubleTree by Hilton Hotel Chicago - Magnificent Mile,h,1,DoubleTree,Hilton,
T_9IQ4nXSacMzrynX3pWJA,Courtyard by Marriott Chicago Downtown/Magnificent Mile,h,1,Courtyard,Marriott,
Ut6mvxVP5eN-Kiu7KaLrlg,The Westin Michigan Avenue Chicago,h,1,Westin,Marriott,
RTbDvRlBaKyim0MJOzEkPQ,Silversmith Hotel Chicago Downtown,h,0,,,
ojCaK0Z7nSMB8gPGbyjzAw,Staypineapple, An Iconic Hotel,1,Staypineapple,Staypineapple,
Yc5wFFyMhyYsxI2Z4bhkng,Red Roof Inn Chicago Downtown - Magnificent Mile,h,1,Red Roof Inn,Westmont Hospitality,
HwJkHmF__Y2VApOA31GqQw,Amalfi Hotel Chicago,h,0,,,Now called “Kinzie Hotel”
wJJi0pIHTus5d_DWoz9TKQ,Chicago O'Hare Garden Hotel,h,1,Hilton,Hilton,
57PyRW-iahNX_Ur8icAfxg,Fairmont Chicago, Millennium Park,1,Fairmont,Fairmont,
purV29eUqYRBrVvgqeyt_w,Best Western River North Hotel,h,1,Best Western,Best Western,
BqJ10kFkEJi5jdjRfyURow,Hyatt Regency McCormick Place,h,1,Hyatt Regency,Hyatt,
D3tzOb9LneB10eNNooZyBg,Best Western Grant Park Hotel,h,1,Best Western,Best Western,
C5QxZbnHUdihyeUPzcZAVw,The Ritz-Carlton - Chicago,h,1,Ritz-Carlton,Marriott,
sGhw4H2gzW0psZom0QuZMw,Millennium Knickerbocker Chicago,h,1,Millennium,Millennium Hotels,
eR7cmuIRnvYFrexno_wlcQ,Omni Chicago Hotel,h,1,Omni,Omni,
JF1adUKdsNebw6-8MABATg,Hotel 71,h,None,,,Bought by Wyndham
ubNzerxb8ox5bmA2EGkKBg,Kimpton Hotel Allegro Chicago,h,1,Kimpton,IHG,
ztuO0tozkkocR_o2OXDuQw,W Chicago - City Center,h,1,Marriott,Marriott,
HTBxJPblBauNNCm_qSQjSQ,Radisson Blu Aqua,h,1,Radisson,Radisson,
7Hj22TFkgAeRCXjDQqb1oA,Holiday Inn Chicago-Mart Plaza River North,h,1,Holiday Inn,IHG,
SrNUBeLzCCBdwdUF9qepqg,InterContinental Chicago Magnificent Mile,h,1,Intercontinental,IHG,
mgvWzZBNNHtVP5Xd5Mz39A,Chicago Marriott Downtown Magnificent Mile,h,1,Marriott,Marriott,
mLdvQGAFadIJkOlEoHsI7w,Hilton - Chicago,h,1,Hilton,Hilton,
P0d8m5E67oBc0BpVUh4nKQ,Victor Hotel,h,None,,,
DC1sD5TsqljP_BIAV6S-pw,The James Chicago,h,1,The James,Denihan Hospitality,
YIfXuMhZgZf3xNnRWjyDYA,Embassy Suites by Hilton Chicago Downtown,h,1,Embassy Suites,Hilton,
ezxzzWj-EIigt0p4wlbLbw,Sheraton Grand Chicago,h,1,Sheraton,Marriott,
YfzsjiJl3m-Yza64aIL7SQ,W Chicago - Lakeshore,h,1,Marriott,Marriott,
lDVAVEPaVSqHzJ2a43_IMA,Hard Rock Hotel Chicago,h,1,Hard Rock Hotel,Hard Rock Cafe,May be co-owned or co-operated by several groups; unclear
uy2bscWexAcIhOQJ_rn3cQ,Hotel Essex,h,0,,,
DxfjGOEtFJQoq6m8WjYl4Q,Warwick Allerton - Chicago,h,1,Warwick,Warwick,
iIrBXLRm4Ga1AjvthhrLOw,Hampton Inn Chicago Downtown/Magnificent Mile,h,1,Hampton Inn,Hilton,
31yYZQjEIyYE0N3p_vmoOA,The Drake, a Hilton Hotel,1,Hilton,Hilton,
LDze56Nd8rRljNDMaD1sbA,Dana Hotel & Spa,h,3,Eurostars,Hotusa,
cXKeY0NugFvCSHRWJcOq9w,The Congress Plaza Hotel & Convention Center,h,0,,,
